Model,Local duration mean (s),Local duration std (s),Duration mean (s),Duration std (s),Checkpoint Size (MB),Throughput (MB/s),Checkpoint Speed (MB/s),Number of Tensors,Index File Size,Meta File Size,Weight File Size,Graph File Size,Number of Parameters
ResNet-15,0.23,0.01,3.79,0.24,6.27,"(57.19, 3.44)",1.65,50,5.42,0.97,5.3,1.96,693818
ResNet-32,0.44,0.01,3.82,0.28,15.99,"(57.19, 3.44)",4.17,104,11.05,1.79,14.19,3.62,1857722
Custom ResNet 1,0.28,0.02,3.54,0.26,9.26,"(57.19, 3.44)",2.59,62,6.71,1.13,8.12,2.33,1063226
Custom ResNet 2,0.33,0.01,3.48,0.17,10.57,"(57.19, 3.44)",3.03,74,7.9,1.31,9.25,2.69,1211194
Custom ResNet 3,0.41,0.01,3.65,0.11,12.78,"(57.19, 3.44)",3.46,98,10.41,1.68,11.09,3.42,1451706
Custom ResNet 4,0.51,0.04,3.97,0.18,22.45,"(57.19, 3.44)",5.59,140,14.82,2.32,20.12,4.69,2633658
Custom ResNet 5,0.65,0.04,4.44,0.28,28.7,"(57.19, 3.44)",6.46,170,17.94,2.78,25.9,5.6,3391034
Custom ResNet 6,0.81,0.04,4.65,0.22,38.85,"(57.19, 3.44)",8.16,224,23.61,3.61,35.22,7.24,4610362
Custom ResNet 7,1.01,0.05,5.00,0.14,48.15,"(57.19, 3.44)",9.33,278,29.26,4.44,43.68,8.88,5718842
Custom ResNet 8,1.21,0.07,5.31,0.10,54.26,"(57.19, 3.44)",9.63,326,34.36,5.18,49.05,10.34,6421306
Shake 16,0.82,0.05,4.35,0.25,9.57,"(57.19, 3.44)",2.20,210,21.03,3.91,5.64,7.35,737418
Shake small,0.75,0.03,4.52,0.37,26.39,"(57.19, 3.44)",5.84,216,22.07,4.01,22.36,7.54,2926986
Shake 48,0.80,0.05,5.23,0.40,54.19,"(57.19, 3.44)",10.36,216,22.13,4.01,50.16,7.54,6568282
Shake 64,0.86,0.05,5.86,0.28,93.33,"(57.19, 3.44)",15.93,216,22.39,4.01,89.03,7.54,11661610
Shake 80,0.89,0.09,6.31,0.48,143.01,"(57.19, 3.44)",22.66,216,22.42,4.01,138.98,7.54,18206970
Shake Large,1.03,0.08,7.66,0.48,204.04,"(57.19, 3.44)",26.62,216,22.44,4.01,200.01,7.54,26204362
