Wall time,Step,Value
1568079153.083258,121,2.480135440826416
1568079181.700717,223,3.564253568649292
1568079205.932696,323,4.1267828941345215
1568079229.857603,424,4.221533298492432
1568079250.898939,525,4.800071716308594
1568079271.20758,627,5.022491455078125
1568079291.072999,728,5.0842132568359375
1568079311.037012,830,5.109194278717041
1568079331.149865,932,5.071382522583008
1568079351.30508,1033,5.011117458343506
1568079370.885546,1133,5.107129096984863
1568079390.496352,1233,5.09923791885376
1568079410.092131,1334,5.15416145324707
1568079429.991505,1435,5.075536727905273
1568079449.911819,1535,5.0200090408325195
1568079470.033761,1637,5.069082260131836
1568079489.99677,1739,5.109447956085205
1568079510.006862,1841,5.097431182861328
1568079529.589103,1941,5.1066718101501465
1568079549.546379,2043,5.1109113693237305
1568079569.586922,2145,5.0896992683410645
1568079589.572063,2246,5.053742408752441
1568079609.120275,2346,5.1155524253845215
1568079628.932082,2448,5.148444175720215
1568079648.88918,2549,5.060863971710205
1568079668.293504,2649,5.153482913970947
1568079688.148824,2751,5.137174606323242
1568079707.964328,2853,5.147475719451904
1568079728.155655,2953,4.952617645263672
1568079747.960949,3055,5.150138854980469
1568079767.875843,3156,5.071582317352295
1568079787.711928,3258,5.142144680023193
1568079807.522761,3359,5.0982184410095215
1568079827.337908,3461,5.147581577301025
1568079847.257186,3562,5.070462226867676
1568079867.156869,3664,5.125707626342773
1568079886.977693,3765,5.09565544128418
1568079906.937553,3867,5.110256195068359
1568079926.435013,3967,5.128870487213135
1568079946.051501,4067,5.097755432128906
1568079965.838673,4168,5.104320049285889
1568079986.543181,4269,4.878172397613525
1568080006.073238,4369,5.120306968688965
1568080025.783809,4470,5.12415075302124
1568080045.732277,4572,5.113173484802246
1568080065.773519,4673,5.039608955383301
1568080085.565267,4775,5.153664588928223
1568080105.858023,4877,5.0264201164245605
1568080125.534406,4978,5.133056163787842
