Wall time,Step,Value
1568325427.814979,105,4.7677836418151855
1568325444.367603,209,6.282991886138916
1568325461.216625,315,6.291169166564941
1568325480.461134,437,6.339460849761963
1568325496.733023,542,6.452847003936768
1568325512.564896,645,6.5058746337890625
1568325528.115546,747,6.559196949005127
1568325544.274389,850,6.374217987060547
1568325560.902668,956,6.374693870544434
1568325576.822784,1059,6.46979284286499
1568325593.123703,1164,6.441362380981445
1568325609.415639,1269,6.444896221160889
1568325625.463256,1372,6.4184112548828125
1568325641.578798,1477,6.515439510345459
1568325658.081694,1582,6.362516403198242
1568325674.180647,1685,6.39793586730957
1568325692.180197,1790,5.833483695983887
1568325707.957516,1893,6.528368949890137
1568325723.503767,1995,6.561063289642334
1568325739.658172,2100,6.499764919281006
1568325755.255125,2200,6.411518573760986
1568325771.754638,2305,6.363837718963623
1568325788.638548,2411,6.2781453132629395
1568325805.301151,2517,6.361550807952881
1568325821.910876,2624,6.442016124725342
1568325837.953093,2727,6.420547008514404
1568325854.490892,2832,6.349095344543457
1568325870.76019,2935,6.330940246582031
1568325887.13501,3039,6.35122013092041
1568325903.459908,3144,6.431921482086182
1568325919.883947,3248,6.332160472869873
1568325936.873681,3351,6.062484264373779
1568325953.820582,3457,6.254828929901123
1568325970.104309,3562,6.448146343231201
1568325987.532473,3666,5.967360973358154
1568326003.615997,3771,6.528419494628906
1568326020.247252,3877,6.373551368713379
1568326036.239151,3980,6.440741062164307
1568326053.17647,4085,6.199341297149658
1568326069.839996,4190,6.301192283630371
1568326086.372397,4296,6.411644458770752
1568326102.675993,4401,6.440281867980957
1568326119.340238,4506,6.3009352684021
1568326135.467037,4611,6.510901927947998
1568326151.903952,4715,6.327215671539307
1568326168.821217,4819,6.147560119628906
1568326184.929564,4922,6.394201278686523
