Wall time,Step,Value
1566272502.499452,101,1.9445712566375732
1566272551.212167,201,2.0528502464294434
1566272600.896118,301,2.0127243995666504
1566272649.677615,401,2.0499558448791504
1566272698.434586,501,2.0509917736053467
1566272747.741976,601,2.028090476989746
1566272796.708441,701,2.042215347290039
1566272845.405073,801,2.0535292625427246
1566272895.034687,901,2.014925479888916
1566272944.019888,1001,2.0414340496063232
1566272992.944386,1101,2.0439648628234863
1566273042.327436,1201,2.0249879360198975
1566273091.570524,1301,2.030742645263672
1566273140.546585,1401,2.041811466217041
1566273189.804884,1501,2.0301151275634766
1566273238.723071,1601,2.0442306995391846
1566273287.67039,1701,2.043013572692871
1566273336.864866,1801,2.032750368118286
1566273385.842497,1901,2.041747570037842
