Wall time,Step,Value
1564106516.288321,101,4.231841087341309
1564106538.138303,201,4.576661586761475
1564106560.026135,301,4.568742752075195
1564106581.816519,401,4.589184284210205
1564106603.437974,501,4.625036716461182
1564106625.69429,601,4.493106365203857
1564106647.348809,701,4.617976665496826
1564106669.173382,801,4.581987380981445
1564106690.939913,901,4.594210147857666
1564106712.536028,1001,4.6304612159729
1564106734.140654,1101,4.628634452819824
1564106756.310391,1201,4.510657787322998
1564106777.92197,1301,4.627150535583496
1564106799.585451,1401,4.616057395935059
