Wall time,Step,Value
1566265589.142081,101,0.9725194573402405
1566265687.880539,201,1.0127767324447632
1566265787.08607,301,1.0080084800720215
1566265885.834193,401,1.0126770734786987
1566265983.981928,501,1.0188724994659424
1566266082.969437,601,1.0102289915084839
1566266181.574542,701,1.0141456127166748
1566266280.518111,801,1.0106772184371948
1566266379.556522,901,1.0097090005874634
1566266478.68299,1001,1.008812665939331
1566266577.175184,1101,1.0153084993362427
1566266676.241313,1201,1.0094270706176758
1566266774.622114,1301,1.0164587497711182
1566266874.782257,1401,0.9984010457992554
1566266973.679429,1501,1.01115083694458
1566267072.596729,1601,1.0109461545944214
1566267170.960106,1701,1.0166382789611816
1566267270.638646,1801,1.003224492073059
1566267369.647319,1901,1.010013461112976
