Wall time,Step,Value
1564454722.966381,101,10.637179374694824
1564454731.442836,201,11.797405242919922
1564454740.07623,301,11.582905769348145
1564454748.690933,401,11.608065605163574
1564454757.224174,501,11.718867301940918
1564454765.831568,601,11.617923736572266
1564454774.436497,701,11.62123966217041
1564454783.011218,801,11.662201881408691
1564454791.498808,901,11.781888961791992
1564454800.096772,1001,11.630671501159668
1564454808.582758,1101,11.784132957458496
1564454817.017078,1201,11.856329917907715
1564454826.176703,1301,10.917465209960938
1564454834.599242,1401,11.872905731201172
