Wall time,Step,Value
1564091191.280378,101,11.578968048095703
1564091199.299465,201,12.470199584960938
1564091207.447124,301,12.273465156555176
1564091215.587443,401,12.284550666809082
1564091223.353071,501,12.877253532409668
1564091231.748546,601,11.911179542541504
1564091240.634952,701,11.253146171569824
1564091248.825424,801,12.209329605102539
1564091257.072435,901,12.125602722167969
1564091265.279527,1001,12.18453311920166
1564091273.599343,1101,12.019506454467773
1564091281.898441,1201,12.049527168273926
1564091290.068143,1301,12.240327835083008
1564091298.949234,1401,11.259933471679688
