Wall time,Step,Value
1570318854.478303,101,4.866183757781982
1570318871.111391,201,6.012124538421631
1570318887.805162,301,5.9902544021606445
1570318904.581898,401,5.960635185241699
1570318921.256827,501,5.997023105621338
1570318938.603833,601,5.7646870613098145
1570318955.466133,701,5.930385589599609
1570318972.218608,801,5.9692702293396
1570318988.936986,901,5.981444835662842
1570319006.00293,1001,5.859615802764893
1570319022.857289,1101,5.93318510055542
1570319039.796619,1201,5.90341854095459
1570319056.555627,1301,5.966955184936523
1570319073.865798,1401,5.776935577392578
