Wall time,Step,Value
1564091785.841565,101,1.913281798362732
1564091835.1609,201,2.027602195739746
1564091886.308241,301,1.9551361799240112
1564091935.07858,401,2.0504276752471924
1564091984.051669,501,2.041935920715332
1564092033.311134,601,2.030066967010498
1564092082.365134,701,2.0385704040527344
1564092131.569072,801,2.032358407974243
1564092182.062663,901,1.9804480075836182
1564092229.69698,1001,2.09932804107666
1564092277.954846,1101,2.0721993446350098
1564092327.665099,1201,2.011659622192383
1564092377.094871,1301,2.023070812225342
1564092426.336886,1401,2.0307865142822266
