Wall time,Step,Value
1564455482.362116,101,3.0183660984039307
1564455513.255594,201,3.2369260787963867
1564455544.043374,301,3.2480416297912598
1564455576.622087,401,3.0694892406463623
1564455607.213081,501,3.2689337730407715
1564455638.654071,601,3.1805641651153564
1564455670.728494,701,3.117746591567993
1564455702.251945,801,3.172241687774658
1564455733.569061,901,3.1931447982788086
1564455765.142614,1001,3.167206048965454
1564455796.216672,1101,3.2181177139282227
1564455827.867647,1201,3.1594600677490234
1564455858.096559,1301,3.308091163635254
1564455890.056201,1401,3.128946304321289
