Wall time,Step,Value
1564091453.864631,101,5.925662994384766
1564091468.317798,201,6.9189019203186035
1564091482.677536,301,6.963926315307617
1564091497.158389,401,6.905655384063721
1564091511.517919,501,6.964015007019043
1564091525.840424,601,6.982004642486572
1564091540.346716,701,6.893562316894531
1564091556.224071,801,6.298280715942383
1564091570.60457,901,6.953882694244385
1564091584.952695,1001,6.969549179077148
1564091599.280696,1101,6.979319095611572
1564091613.692596,1201,6.938715934753418
1564091627.9749,1301,7.001696586608887
1564091642.313267,1401,6.974262714385986
