GPU TFLOPS,Normalized Model,Model FLOPs,Latency (ms),Average Tensor Size (MB),Max Tensor Size (MB),Number of Parameters,Speed (steps/sec),Step Time (s),GPU (temp),Model (temp),GPU/Model,Model/GPU,Number of Tensors,Index File Size,Meta File Size,Weight File Size,Graph File Size,Event File Size
9.526,0,630989589,0.3,0.052934113,0.5625,693818,24.94680786,0.040085289,P100,Res15,1,0,50,5.42,0.97,5.3,1.96,3.4
9.526,0,630989589,0.3,0.052934113,0.5625,693818,24.78038979,0.04035449,P100,Res15,1,0,50,5.42,0.97,5.3,1.96,3.4
9.526,0,630989589,0.3,0.052934113,0.5625,693818,24.56657219,0.04070572,P100,Res15,1,0,50,5.42,0.97,5.3,1.96,3.4
9.526,0,630989589,0.3,0.052934113,0.5625,693818,24.69081497,0.040500891,P100,Res15,1,0,50,5.42,0.97,5.3,1.96,3.4
9.526,0,630989589,0.3,0.052934113,0.5625,693818,24.58264923,0.040679098,P100,Res15,1,0,50,5.42,0.97,5.3,1.96,3.4
9.526,0,630989589,0.3,0.052934113,0.5625,693818,24.86561966,0.040216171,P100,Res15,1,0,50,5.42,0.97,5.3,1.96,3.4
9.526,0,630989589,0.3,0.052934113,0.5625,693818,24.72988129,0.040436911,P100,Res15,1,0,50,5.42,0.97,5.3,1.96,3.4
9.526,0,630989589,0.3,0.052934113,0.5625,693818,24.80110741,0.04032078,P100,Res15,1,0,50,5.42,0.97,5.3,1.96,3.4
9.526,0,630989589,0.3,0.052934113,0.5625,693818,24.77297401,0.04036657,P100,Res15,1,0,50,5.42,0.97,5.3,1.96,3.4
9.526,0,630989589,0.3,0.052934113,0.5625,693818,24.70463181,0.040478239,P100,Res15,1,0,50,5.42,0.97,5.3,1.96,3.4
9.526,0,630989589,0.3,0.052934113,0.5625,693818,24.29464722,0.04116133,P100,Res15,1,0,50,5.42,0.97,5.3,1.96,3.4
9.526,0,630989589,0.3,0.052934113,0.5625,693818,23.58196259,0.042405292,P100,Res15,1,0,50,5.42,0.97,5.3,1.96,3.4
9.526,0,630989589,0.3,0.052934113,0.5625,693818,24.73826981,0.040423199,P100,Res15,1,0,50,5.42,0.97,5.3,1.96,3.4
9.526,0.04622268286,1658696889,0.3,0.068140837,0.5625,1857722,11.57896805,0.086363482,P100,Res32,0.3729412862,0.01964063748,104,11.05,1.79,14.19,3.62,6.37
9.526,0.04622268286,1658696889,0.3,0.068140837,0.5625,1857722,12.47019958,0.080191178,P100,Res32,0.3729412862,0.01964063748,104,11.05,1.79,14.19,3.62,6.37
9.526,0.04622268286,1658696889,0.3,0.068140837,0.5625,1857722,12.27346516,0.081476583,P100,Res32,0.3729412862,0.01964063748,104,11.05,1.79,14.19,3.62,6.37
9.526,0.04622268286,1658696889,0.3,0.068140837,0.5625,1857722,12.28455067,0.081403059,P100,Res32,0.3729412862,0.01964063748,104,11.05,1.79,14.19,3.62,6.37
9.526,0.04622268286,1658696889,0.3,0.068140837,0.5625,1857722,12.87725353,0.077656311,P100,Res32,0.3729412862,0.01964063748,104,11.05,1.79,14.19,3.62,6.37
9.526,0.04622268286,1658696889,0.3,0.068140837,0.5625,1857722,11.91117954,0.083954742,P100,Res32,0.3729412862,0.01964063748,104,11.05,1.79,14.19,3.62,6.37
9.526,0.04622268286,1658696889,0.3,0.068140837,0.5625,1857722,11.25314617,0.088864037,P100,Res32,0.3729412862,0.01964063748,104,11.05,1.79,14.19,3.62,6.37
9.526,0.04622268286,1658696889,0.3,0.068140837,0.5625,1857722,12.20932961,0.081904579,P100,Res32,0.3729412862,0.01964063748,104,11.05,1.79,14.19,3.62,6.37
9.526,0.04622268286,1658696889,0.3,0.068140837,0.5625,1857722,12.12560272,0.082470127,P100,Res32,0.3729412862,0.01964063748,104,11.05,1.79,14.19,3.62,6.37
9.526,0.04622268286,1658696889,0.3,0.068140837,0.5625,1857722,12.18453312,0.082071261,P100,Res32,0.3729412862,0.01964063748,104,11.05,1.79,14.19,3.62,6.37
9.526,0.04622268286,1658696889,0.3,0.068140837,0.5625,1857722,12.01950645,0.083198092,P100,Res32,0.3729412862,0.01964063748,104,11.05,1.79,14.19,3.62,6.37
9.526,0.04622268286,1658696889,0.3,0.068140837,0.5625,1857722,12.04952717,0.082990808,P100,Res32,0.3729412862,0.01964063748,104,11.05,1.79,14.19,3.62,6.37
9.526,0.04622268286,1658696889,0.3,0.068140837,0.5625,1857722,12.24032784,0.081697158,P100,Res32,0.3729412862,0.01964063748,104,11.05,1.79,14.19,3.62,6.37
9.526,1,22864820174,0.3,0.462785686,5.0625,26204362,2.027602196,0.49319339,P100,shakebig,0.01587039183,0.4249134031,216,22.44,4.01,200.01,7.54,14.43
