GPU TFLOPS,Model FLOPs,Latency (ms),Average Tensor Size (MB),Max Tensor Size (MB),Number of Parameters,Speed (steps/sec),Step Time (s),GPU (temp),Model (temp),GPU/Model,Model/GPU
4.113,4856736,0.3,0.052934113,0.5625,693818,9.635206223,0.103786051,K80,Res15,0.4039592601,0.06440167479
4.113,4856736,0.3,0.052934113,0.5625,693818,9.400539398,0.106376875,K80,Res15,0.4039592601,0.06440167479
4.113,4856736,0.3,0.052934113,0.5625,693818,9.46422863,0.105661015,K80,Res15,0.4039592601,0.06440167479
4.113,4856736,0.3,0.052934113,0.5625,693818,9.537776947,0.104846235,K80,Res15,0.4039592601,0.06440167479
4.113,4856736,0.3,0.052934113,0.5625,693818,9.568327904,0.104511468,K80,Res15,0.4039592601,0.06440167479
4.113,4856736,0.3,0.052934113,0.5625,693818,9.451645851,0.105801679,K80,Res15,0.4039592601,0.06440167479
4.113,4856736,0.3,0.052934113,0.5625,693818,9.461146355,0.105695437,K80,Res15,0.4039592601,0.06440167479
4.113,4856736,0.3,0.052934113,0.5625,693818,9.550402641,0.104707627,K80,Res15,0.4039592601,0.06440167479
4.113,4856736,0.3,0.052934113,0.5625,693818,8.89410305,0.112434047,K80,Res15,0.4039592601,0.06440167479
4.113,4856736,0.3,0.052934113,0.5625,693818,9.387571335,0.106523824,K80,Res15,0.4039592601,0.06440167479
4.113,4856736,0.3,0.052934113,0.5625,693818,9.386547089,0.106535448,K80,Res15,0.4039592601,0.06440167479
4.113,4856736,0.3,0.052934113,0.5625,693818,9.62958622,0.103846622,K80,Res15,0.4039592601,0.06440167479
4.113,4856736,0.3,0.052934113,0.5625,693818,9.533252716,0.104895992,K80,Res15,0.4039592601,0.06440167479
4.113,13004101,0.3,0.068140837,0.5625,1857722,4.576661587,0.218499878,K80,Res32,0.1202108304,0.2545280584
4.113,13004101,0.3,0.068140837,0.5625,1857722,4.568742752,0.218878596,K80,Res32,0.1202108304,0.2545280584
4.113,13004101,0.3,0.068140837,0.5625,1857722,4.589184284,0.217903649,K80,Res32,0.1202108304,0.2545280584
4.113,13004101,0.3,0.068140837,0.5625,1857722,4.625036716,0.2162145,K80,Res32,0.1202108304,0.2545280584
4.113,13004101,0.3,0.068140837,0.5625,1857722,4.493106365,0.222563171,K80,Res32,0.1202108304,0.2545280584
4.113,13004101,0.3,0.068140837,0.5625,1857722,4.617976665,0.216545053,K80,Res32,0.1202108304,0.2545280584
4.113,13004101,0.3,0.068140837,0.5625,1857722,4.581987381,0.218245909,K80,Res32,0.1202108304,0.2545280584
4.113,13004101,0.3,0.068140837,0.5625,1857722,4.594210148,0.217665272,K80,Res32,0.1202108304,0.2545280584
4.113,13004101,0.3,0.068140837,0.5625,1857722,4.630461216,0.215961208,K80,Res32,0.1202108304,0.2545280584
4.113,13004101,0.3,0.068140837,0.5625,1857722,4.628634453,0.216046441,K80,Res32,0.1202108304,0.2545280584
4.113,13004101,0.3,0.068140837,0.5625,1857722,4.510657787,0.221697155,K80,Res32,0.1202108304,0.2545280584
4.113,13004101,0.3,0.068140837,0.5625,1857722,4.627150536,0.216115727,K80,Res32,0.1202108304,0.2545280584
4.113,13004101,0.3,0.068140837,0.5625,1857722,4.616057396,0.216635088,K80,Res32,0.1202108304,0.2545280584
9.526,4856736,0.3,0.052934113,0.5625,693818,24.94680786,0.040085289,P100,Res15,1,0
9.526,4856736,0.3,0.052934113,0.5625,693818,24.78038979,0.04035449,P100,Res15,1,0
9.526,4856736,0.3,0.052934113,0.5625,693818,24.56657219,0.04070572,P100,Res15,1,0
9.526,4856736,0.3,0.052934113,0.5625,693818,24.69081497,0.040500891,P100,Res15,1,0
9.526,4856736,0.3,0.052934113,0.5625,693818,24.58264923,0.040679098,P100,Res15,1,0
9.526,4856736,0.3,0.052934113,0.5625,693818,24.86561966,0.040216171,P100,Res15,1,0
9.526,4856736,0.3,0.052934113,0.5625,693818,24.72988129,0.040436911,P100,Res15,1,0
9.526,4856736,0.3,0.052934113,0.5625,693818,24.80110741,0.04032078,P100,Res15,1,0
9.526,4856736,0.3,0.052934113,0.5625,693818,24.77297401,0.04036657,P100,Res15,1,0
9.526,4856736,0.3,0.052934113,0.5625,693818,24.70463181,0.040478239,P100,Res15,1,0
9.526,4856736,0.3,0.052934113,0.5625,693818,24.29464722,0.04116133,P100,Res15,1,0
9.526,4856736,0.3,0.052934113,0.5625,693818,23.58196259,0.042405292,P100,Res15,1,0
9.526,4856736,0.3,0.052934113,0.5625,693818,24.73826981,0.040423199,P100,Res15,1,0
9.526,13004101,0.3,0.068140837,0.5625,1857722,11.57896805,0.086363482,P100,Res32,0.3428184923,0.08209004996
9.526,13004101,0.3,0.068140837,0.5625,1857722,12.47019958,0.080191178,P100,Res32,0.3428184923,0.08209004996
9.526,13004101,0.3,0.068140837,0.5625,1857722,12.27346516,0.081476583,P100,Res32,0.3428184923,0.08209004996
9.526,13004101,0.3,0.068140837,0.5625,1857722,12.28455067,0.081403059,P100,Res32,0.3428184923,0.08209004996
9.526,13004101,0.3,0.068140837,0.5625,1857722,12.87725353,0.077656311,P100,Res32,0.3428184923,0.08209004996
9.526,13004101,0.3,0.068140837,0.5625,1857722,11.91117954,0.083954742,P100,Res32,0.3428184923,0.08209004996
9.526,13004101,0.3,0.068140837,0.5625,1857722,11.25314617,0.088864037,P100,Res32,0.3428184923,0.08209004996
9.526,13004101,0.3,0.068140837,0.5625,1857722,12.20932961,0.081904579,P100,Res32,0.3428184923,0.08209004996
9.526,13004101,0.3,0.068140837,0.5625,1857722,12.12560272,0.082470127,P100,Res32,0.3428184923,0.08209004996
9.526,13004101,0.3,0.068140837,0.5625,1857722,12.18453312,0.082071261,P100,Res32,0.3428184923,0.08209004996
9.526,13004101,0.3,0.068140837,0.5625,1857722,12.01950645,0.083198092,P100,Res32,0.3428184923,0.08209004996
9.526,13004101,0.3,0.068140837,0.5625,1857722,12.04952717,0.082990808,P100,Res32,0.3428184923,0.08209004996
9.526,13004101,0.3,0.068140837,0.5625,1857722,12.24032784,0.081697158,P100,Res32,0.3428184923,0.08209004996
4.113,7442600,0.3,,,1063226,7.686818123,0.13009284,K80,custom1,0.2466053175,0.1247452301
4.113,7442600,0.3,,,1063226,7.651000023,0.130701869,K80,custom1,0.2466053175,0.1247452301
4.113,7442600,0.3,,,1063226,7.645947456,0.130788239,K80,custom1,0.2466053175,0.1247452301
4.113,7442600,0.3,,,1063226,7.618710995,0.131255799,K80,custom1,0.2466053175,0.1247452301
4.113,7442600,0.3,,,1063226,7.503590584,0.133269531,K80,custom1,0.2466053175,0.1247452301
4.113,7442600,0.3,,,1063226,7.523610592,0.132914907,K80,custom1,0.2466053175,0.1247452301
4.113,7442600,0.3,,,1063226,7.276145935,0.137435396,K80,custom1,0.2466053175,0.1247452301
4.113,7442600,0.3,,,1063226,7.696588039,0.129927702,K80,custom1,0.2466053175,0.1247452301
4.113,7442600,0.3,,,1063226,7.583947182,0.131857458,K80,custom1,0.2466053175,0.1247452301
4.113,7442600,0.3,,,1063226,7.61167717,0.13137709,K80,custom1,0.2466053175,0.1247452301
4.113,7442600,0.3,,,1063226,7.637586117,0.130931421,K80,custom1,0.2466053175,0.1247452301
4.113,7442600,0.3,,,1063226,7.672476768,0.130336009,K80,custom1,0.2466053175,0.1247452301
4.113,7442600,0.3,,,1063226,7.633645535,0.130999009,K80,custom1,0.2466053175,0.1247452301
4.113,8478384,0.3,,,1211194,6.485807419,0.154182808,K80,custom2,0.2104998841,0.1489162187
4.113,8478384,0.3,,,1211194,6.399475098,0.156262816,K80,custom2,0.2104998841,0.1489162187
4.113,8478384,0.3,,,1211194,6.324284077,0.158120664,K80,custom2,0.2104998841,0.1489162187
4.113,8478384,0.3,,,1211194,6.525795937,0.153238013,K80,custom2,0.2104998841,0.1489162187
4.113,8478384,0.3,,,1211194,6.525716305,0.153239883,K80,custom2,0.2104998841,0.1489162187
4.113,8478384,0.3,,,1211194,6.493299961,0.154004898,K80,custom2,0.2104998841,0.1489162187
4.113,8478384,0.3,,,1211194,6.21405077,0.160925624,K80,custom2,0.2104998841,0.1489162187
4.113,8478384,0.3,,,1211194,6.451253414,0.155008637,K80,custom2,0.2104998841,0.1489162187
4.113,8478384,0.3,,,1211194,6.482039452,0.154272433,K80,custom2,0.2104998841,0.1489162187
4.113,8478384,0.3,,,1211194,6.513130665,0.153535995,K80,custom2,0.2104998841,0.1489162187
4.113,8478384,0.3,,,1211194,6.487434387,0.154144141,K80,custom2,0.2104998841,0.1489162187
4.113,8478384,0.3,,,1211194,6.495615959,0.153949988,K80,custom2,0.2104998841,0.1489162187
4.113,8478384,0.3,,,1211194,6.515946865,0.153469637,K80,custom2,0.2104998841,0.1489162187
4.113,10161984,0.3,,,1451706,5.020240784,0.199193633,K80,custom3,0.1675177028,0.1882045996
4.113,10161984,0.3,,,1451706,4.913663864,0.203514125,K80,custom3,0.1675177028,0.1882045996
4.113,10161984,0.3,,,1451706,4.978164196,0.200877263,K80,custom3,0.1675177028,0.1882045996
4.113,10161984,0.3,,,1451706,4.909885883,0.203670721,K80,custom3,0.1675177028,0.1882045996
4.113,10161984,0.3,,,1451706,4.748450279,0.210595024,K80,custom3,0.1675177028,0.1882045996
4.113,10161984,0.3,,,1451706,4.936988831,0.202552615,K80,custom3,0.1675177028,0.1882045996
4.113,10161984,0.3,,,1451706,4.915909767,0.203421146,K80,custom3,0.1675177028,0.1882045996
4.113,10161984,0.3,,,1451706,4.885709763,0.204678552,K80,custom3,0.1675177028,0.1882045996
4.113,10161984,0.3,,,1451706,4.881494045,0.204855315,K80,custom3,0.1675177028,0.1882045996
4.113,10161984,0.3,,,1451706,4.925238132,0.203035868,K80,custom3,0.1675177028,0.1882045996
4.113,10161984,0.3,,,1451706,4.749066353,0.210567704,K80,custom3,0.1675177028,0.1882045996
4.113,10161984,0.3,,,1451706,4.935577869,0.20261052,K80,custom3,0.1675177028,0.1882045996
4.113,10161984,0.3,,,1451706,4.998350143,0.200066016,K80,custom3,0.1675177028,0.1882045996
4.113,18435676,0.3,,,2633658,3.442054033,0.290524202,K80,custom4,0.07037662887,0.381278942
4.113,18435676,0.3,,,2633658,3.455518007,0.289392212,K80,custom4,0.07037662887,0.381278942
4.113,18435676,0.3,,,2633658,3.445611954,0.290224208,K80,custom4,0.07037662887,0.381278942
