GPU TFLOPS,Model FLOPs,Latency (ms),Average Tensor Size (MB),Max Tensor Size (MB),Number of Parameters,Speed (steps/sec),Step Time (s),GPU (temp),Model (temp),GPU/Model,Model/GPU
4.113,183350654,0.3,0.462785686,5.0625,26204362,0.711906433,1.404678977,K80,shakebig,0,1
4.113,183350654,0.3,0.462785686,5.0625,26204362,0.710938215,1.406591992,K80,shakebig,0,1
4.113,183350654,0.3,0.462785686,5.0625,26204362,0.710623801,1.407214336,K80,shakebig,0,1
4.113,183350654,0.3,0.462785686,5.0625,26204362,0.713746548,1.401057564,K80,shakebig,0,1
4.113,183350654,0.3,0.462785686,5.0625,26204362,0.711379111,1.405720219,K80,shakebig,0,1
4.113,183350654,0.3,0.462785686,5.0625,26204362,0.71166712,1.40515133,K80,shakebig,0,1
4.113,183350654,0.3,0.462785686,5.0625,26204362,0.711706102,1.405074366,K80,shakebig,0,1
4.113,183350654,0.3,0.462785686,5.0625,26204362,0.711763918,1.404960233,K80,shakebig,0,1
4.113,183350654,0.3,0.462785686,5.0625,26204362,0.699347079,1.429905164,K80,shakebig,0,1
4.113,183350654,0.3,0.462785686,5.0625,26204362,0.712407351,1.403691299,K80,shakebig,0,1
4.113,183350654,0.3,0.462785686,5.0625,26204362,0.712188482,1.40412268,K80,shakebig,0,1
4.113,183350654,0.3,0.462785686,5.0625,26204362,0.71473819,1.399113709,K80,shakebig,0,1
4.113,183350654,0.3,0.462785686,5.0625,26204362,0.714442372,1.399693018,K80,shakebig,0,1
4.113,20462334,0.3,0.040374826,0.5625,2926986,2.539875507,0.393720085,K80,shakesmall,0.09770208583,0.1006984207
4.113,20462334,0.3,0.040374826,0.5625,2926986,2.571589947,0.388864485,K80,shakesmall,0.09770208583,0.1006984207
4.113,20462334,0.3,0.040374826,0.5625,2926986,2.527244091,0.395687937,K80,shakesmall,0.09770208583,0.1006984207
4.113,20462334,0.3,0.040374826,0.5625,2926986,2.564818382,0.389891154,K80,shakesmall,0.09770208583,0.1006984207
4.113,20462334,0.3,0.040374826,0.5625,2926986,2.583915472,0.387009564,K80,shakesmall,0.09770208583,0.1006984207
4.113,20462334,0.3,0.040374826,0.5625,2926986,2.583359957,0.387092785,K80,shakesmall,0.09770208583,0.1006984207
4.113,20462334,0.3,0.040374826,0.5625,2926986,2.521844625,0.396535135,K80,shakesmall,0.09770208583,0.1006984207
4.113,20462334,0.3,0.040374826,0.5625,2926986,2.55969882,0.390670962,K80,shakesmall,0.09770208583,0.1006984207
4.113,20462334,0.3,0.040374826,0.5625,2926986,2.538445473,0.393941887,K80,shakesmall,0.09770208583,0.1006984207
4.113,20462334,0.3,0.040374826,0.5625,2926986,2.562117815,0.390302114,K80,shakesmall,0.09770208583,0.1006984207
4.113,20462334,0.3,0.040374826,0.5625,2926986,2.517647266,0.397196229,K80,shakesmall,0.09770208583,0.1006984207
4.113,20462334,0.3,0.040374826,0.5625,2926986,2.567349911,0.389506703,K80,shakesmall,0.09770208583,0.1006984207
4.113,20462334,0.3,0.040374826,0.5625,2926986,2.566713572,0.38960327,K80,shakesmall,0.09770208583,0.1006984207
4.113,81578046,0.3,,,11661610,1.275221109,0.784177734,K80,shakemid,0.01531181474,0.4381164524
4.113,81578046,0.3,,,11661610,1.268373966,0.78841101,K80,shakemid,0.01531181474,0.4381164524
4.113,81578046,0.3,,,11661610,1.275852919,0.783789405,K80,shakemid,0.01531181474,0.4381164524
4.113,81578046,0.3,,,11661610,1.259142756,0.794191123,K80,shakemid,0.01531181474,0.4381164524
4.113,81578046,0.3,,,11661610,1.274915218,0.784365882,K80,shakemid,0.01531181474,0.4381164524
4.113,81578046,0.3,,,11661610,1.263232946,0.791619632,K80,shakemid,0.01531181474,0.4381164524
4.113,81578046,0.3,,,11661610,1.27523756,0.784167618,K80,shakemid,0.01531181474,0.4381164524
4.113,81578046,0.3,,,11661610,1.260091066,0.793593437,K80,shakemid,0.01531181474,0.4381164524
4.113,81578046,0.3,,,11661610,1.274992108,0.78431858,K80,shakemid,0.01531181474,0.4381164524
4.113,81578046,0.3,,,11661610,1.260757685,0.793173829,K80,shakemid,0.01531181474,0.4381164524
4.113,81578046,0.3,,,11661610,1.275763512,0.783844334,K80,shakemid,0.01531181474,0.4381164524
4.113,81578046,0.3,,,11661610,1.252214551,0.798585194,K80,shakemid,0.01531181474,0.4381164524
4.113,81578046,0.3,,,11661610,1.277028084,0.783068135,K80,shakemid,0.01531181474,0.4381164524
4.113,5148794,0.3,,,737418,4.315175533,0.231740283,K80,shake16,0.42479146,0.01615282092
4.113,5148794,0.3,,,737418,4.351917744,0.229783755,K80,shake16,0.42479146,0.01615282092
4.113,5148794,0.3,,,737418,4.355074883,0.229617177,K80,shake16,0.42479146,0.01615282092
4.113,5148794,0.3,,,737418,4.2016325,0.238002729,K80,shake16,0.42479146,0.01615282092
4.113,5148794,0.3,,,737418,4.337063789,0.230570738,K80,shake16,0.42479146,0.01615282092
4.113,5148794,0.3,,,737418,4.34094286,0.2303647,K80,shake16,0.42479146,0.01615282092
4.113,5148794,0.3,,,737418,4.334887028,0.230686519,K80,shake16,0.42479146,0.01615282092
4.113,5148794,0.3,,,737418,4.356991768,0.229516155,K80,shake16,0.42479146,0.01615282092
4.113,5148794,0.3,,,737418,4.348404884,0.229969386,K80,shake16,0.42479146,0.01615282092
4.113,5148794,0.3,,,737418,4.06568718,0.245960881,K80,shake16,0.42479146,0.01615282092
4.113,5148794,0.3,,,737418,4.340705872,0.230377277,K80,shake16,0.42479146,0.01615282092
4.113,5148794,0.3,,,737418,4.354028702,0.229672349,K80,shake16,0.42479146,0.01615282092
4.113,5148794,0.3,,,737418,4.333805561,0.230744085,K80,shake16,0.42479146,0.01615282092
4.113,45938078,0.3,,,6568282,1.642912149,0.608675273,K80,shake48,0.03671324065,0.241349247
4.113,45938078,0.3,,,6568282,1.63175106,0.612838578,K80,shake48,0.03671324065,0.241349247
4.113,45938078,0.3,,,6568282,1.648057699,0.606774872,K80,shake48,0.03671324065,0.241349247
4.113,45938078,0.3,,,6568282,1.632593036,0.61252252,K80,shake48,0.03671324065,0.241349247
4.113,45938078,0.3,,,6568282,1.650557518,0.605855894,K80,shake48,0.03671324065,0.241349247
4.113,45938078,0.3,,,6568282,1.62547648,0.615204226,K80,shake48,0.03671324065,0.241349247
4.113,45938078,0.3,,,6568282,1.656746745,0.603592555,K80,shake48,0.03671324065,0.241349247
4.113,45938078,0.3,,,6568282,1.626883864,0.614672026,K80,shake48,0.03671324065,0.241349247
4.113,45938078,0.3,,,6568282,1.653073072,0.604933936,K80,shake48,0.03671324065,0.241349247
4.113,45938078,0.3,,,6568282,1.634483933,0.611813906,K80,shake48,0.03671324065,0.241349247
4.113,45938078,0.3,,,6568282,1.658328056,0.603016994,K80,shake48,0.03671324065,0.241349247
4.113,45938078,0.3,,,6568282,1.631752253,0.61283813,K80,shake48,0.03671324065,0.241349247
4.113,45938078,0.3,,,6568282,1.664426446,0.600807565,K80,shake48,0.03671324065,0.241349247
4.113,127382238,0.3,,,18206970,0.821312308,1.217563636,K80,shake80,0.005392662014,0.6910000367
4.113,127382238,0.3,,,18206970,0.828626513,1.206816321,K80,shake80,0.005392662014,0.6910000367
4.113,127382238,0.3,,,18206970,0.830891609,1.203526416,K80,shake80,0.005392662014,0.6910000367
4.113,127382238,0.3,,,18206970,0.830009103,1.204806063,K80,shake80,0.005392662014,0.6910000367
4.113,127382238,0.3,,,18206970,0.829051673,1.206197433,K80,shake80,0.005392662014,0.6910000367
4.113,127382238,0.3,,,18206970,0.825652421,1.211163408,K80,shake80,0.005392662014,0.6910000367
4.113,127382238,0.3,,,18206970,0.827834129,1.207971458,K80,shake80,0.005392662014,0.6910000367
4.113,127382238,0.3,,,18206970,0.832086921,1.201797522,K80,shake80,0.005392662014,0.6910000367
4.113,127382238,0.3,,,18206970,0.831203997,1.203074099,K80,shake80,0.005392662014,0.6910000367
4.113,127382238,0.3,,,18206970,0.835648239,1.19667577,K80,shake80,0.005392662014,0.6910000367
4.113,127382238,0.3,,,18206970,0.83992064,1.190588673,K80,shake80,0.005392662014,0.6910000367
4.113,127382238,0.3,,,18206970,0.830042303,1.204757874,K80,shake80,0.005392662014,0.6910000367
4.113,127382238,0.3,,,18206970,0.833638549,1.19956065,K80,shake80,0.005392662014,0.6910000367
