GPU TFLOPS,Model FLOPs,Latency (ms),Average Tensor Size (MB),Max Tensor Size (MB),Number of Parameters,Speed (steps/sec),Step Time (s),GPU (temp),Model (temp),GPU/Model,Model/GPU
9.526,183350654,0.3,0.462785686,5.0625,26204362,2.027602196,0.49319339,P100,shakebig,0.01615282092,0.42479146
9.526,183350654,0.3,0.462785686,5.0625,26204362,1.95513618,0.511473324,P100,shakebig,0.01615282092,0.42479146
9.526,183350654,0.3,0.462785686,5.0625,26204362,2.050427675,0.487703132,P100,shakebig,0.01615282092,0.42479146
9.526,183350654,0.3,0.462785686,5.0625,26204362,2.041935921,0.489731333,P100,shakebig,0.01615282092,0.42479146
9.526,183350654,0.3,0.462785686,5.0625,26204362,2.030066967,0.492594587,P100,shakebig,0.01615282092,0.42479146
9.526,183350654,0.3,0.462785686,5.0625,26204362,2.038570404,0.49053984,P100,shakebig,0.01615282092,0.42479146
9.526,183350654,0.3,0.462785686,5.0625,26204362,2.032358408,0.492039197,P100,shakebig,0.01615282092,0.42479146
9.526,183350654,0.3,0.462785686,5.0625,26204362,1.980448008,0.504936255,P100,shakebig,0.01615282092,0.42479146
9.526,183350654,0.3,0.462785686,5.0625,26204362,2.099328041,0.476342897,P100,shakebig,0.01615282092,0.42479146
9.526,183350654,0.3,0.462785686,5.0625,26204362,2.072199345,0.482579054,P100,shakebig,0.01615282092,0.42479146
9.526,183350654,0.3,0.462785686,5.0625,26204362,2.011659622,0.497101989,P100,shakebig,0.01615282092,0.42479146
9.526,183350654,0.3,0.462785686,5.0625,26204362,2.023070812,0.494298071,P100,shakebig,0.01615282092,0.42479146
9.526,183350654,0.3,0.462785686,5.0625,26204362,2.030786514,0.492420052,P100,shakebig,0.01615282092,0.42479146
9.526,20462334,0.3,0.040374826,0.5625,2926986,6.91890192,0.144531605,P100,shakesmall,0.242437788,0.03650388954
9.526,20462334,0.3,0.040374826,0.5625,2926986,6.963926315,0.143597154,P100,shakesmall,0.242437788,0.03650388954
9.526,20462334,0.3,0.040374826,0.5625,2926986,6.905655384,0.144808848,P100,shakesmall,0.242437788,0.03650388954
9.526,20462334,0.3,0.040374826,0.5625,2926986,6.964015007,0.143595325,P100,shakesmall,0.242437788,0.03650388954
9.526,20462334,0.3,0.040374826,0.5625,2926986,6.982004642,0.143225342,P100,shakesmall,0.242437788,0.03650388954
9.526,20462334,0.3,0.040374826,0.5625,2926986,6.893562317,0.14506288,P100,shakesmall,0.242437788,0.03650388954
9.526,20462334,0.3,0.040374826,0.5625,2926986,6.298280716,0.158773488,P100,shakesmall,0.242437788,0.03650388954
9.526,20462334,0.3,0.040374826,0.5625,2926986,6.953882694,0.143804554,P100,shakesmall,0.242437788,0.03650388954
9.526,20462334,0.3,0.040374826,0.5625,2926986,6.969549179,0.143481303,P100,shakesmall,0.242437788,0.03650388954
9.526,20462334,0.3,0.040374826,0.5625,2926986,6.979319096,0.143280453,P100,shakesmall,0.242437788,0.03650388954
9.526,20462334,0.3,0.040374826,0.5625,2926986,6.938715935,0.144118884,P100,shakesmall,0.242437788,0.03650388954
9.526,20462334,0.3,0.040374826,0.5625,2926986,7.001696587,0.142822527,P100,shakesmall,0.242437788,0.03650388954
9.526,20462334,0.3,0.040374826,0.5625,2926986,6.974262714,0.143384332,P100,shakesmall,0.242437788,0.03650388954
9.526,81578046,0.3,,,11661610,3.236926079,0.308935075,P100,shakemid,0.05161607091,0.1821894201
9.526,81578046,0.3,,,11661610,3.24804163,0.307877827,P100,shakemid,0.05161607091,0.1821894201
9.526,81578046,0.3,,,11661610,3.069489241,0.325787101,P100,shakemid,0.05161607091,0.1821894201
9.526,81578046,0.3,,,11661610,3.268933773,0.305910144,P100,shakemid,0.05161607091,0.1821894201
9.526,81578046,0.3,,,11661610,3.180564165,0.314409629,P100,shakemid,0.05161607091,0.1821894201
9.526,81578046,0.3,,,11661610,3.117746592,0.320744477,P100,shakemid,0.05161607091,0.1821894201
9.526,81578046,0.3,,,11661610,3.172241688,0.315234493,P100,shakemid,0.05161607091,0.1821894201
9.526,81578046,0.3,,,11661610,3.193144798,0.313170891,P100,shakemid,0.05161607091,0.1821894201
9.526,81578046,0.3,,,11661610,3.167206049,0.315735694,P100,shakemid,0.05161607091,0.1821894201
9.526,81578046,0.3,,,11661610,3.218117714,0.310740653,P100,shakemid,0.05161607091,0.1821894201
9.526,81578046,0.3,,,11661610,3.159460068,0.316509777,P100,shakemid,0.05161607091,0.1821894201
9.526,81578046,0.3,,,11661610,3.308091164,0.30228913,P100,shakemid,0.05161607091,0.1821894201
9.526,81578046,0.3,,,11661610,3.128946304,0.319596408,P100,shakemid,0.05161607091,0.1821894201
9.526,5148794,0.3,,,737418,7.765321732,0.128777665,P100,shake16,1,0
9.526,5148794,0.3,,,737418,7.795516014,0.128278872,P100,shake16,1,0
9.526,5148794,0.3,,,737418,7.703331947,0.129813957,P100,shake16,1,0
9.526,5148794,0.3,,,737418,7.770971298,0.128684042,P100,shake16,1,0
9.526,5148794,0.3,,,737418,7.857872963,0.127260902,P100,shake16,1,0
9.526,5148794,0.3,,,737418,7.843464375,0.127494682,P100,shake16,1,0
9.526,5148794,0.3,,,737418,7.382807255,0.135449832,P100,shake16,1,0
9.526,5148794,0.3,,,737418,7.994361877,0.125088158,P100,shake16,1,0
9.526,5148794,0.3,,,737418,7.705901623,0.129770668,P100,shake16,1,0
9.526,5148794,0.3,,,737418,7.703012943,0.129819333,P100,shake16,1,0
9.526,5148794,0.3,,,737418,7.538617611,0.132650315,P100,shake16,1,0
9.526,5148794,0.3,,,737418,7.772497177,0.128658779,P100,shake16,1,0
9.526,5148794,0.3,,,737418,7.847983837,0.127421261,P100,shake16,1,0
9.526,45938078,0.3,,,6568282,4.245769978,0.235528539,P100,shake48,0.1011832927,0.09723209119
9.526,45938078,0.3,,,6568282,4.238260269,0.235945868,P100,shake48,0.1011832927,0.09723209119
9.526,45938078,0.3,,,6568282,4.239062309,0.235901227,P100,shake48,0.1011832927,0.09723209119
9.526,45938078,0.3,,,6568282,4.113176346,0.24312111,P100,shake48,0.1011832927,0.09723209119
