GPU TFLOPS,Model FLOPs,Latency (ms),Average Tensor Size (MB),Max Tensor Size (MB),Number of Parameters,Speed (steps/sec),Step Time (s)
4.113,183350654,30.3,0.462785686,5.0625,26204362,0.357398987,2.797993381
4.113,183350654,30.3,0.462785686,5.0625,26204362,0.355484635,2.813061105
4.113,183350654,30.3,0.462785686,5.0625,26204362,0.360458821,2.774241999
4.113,183350654,30.3,0.462785686,5.0625,26204362,0.326128334,3.066277584
4.113,183350654,30.3,0.462785686,5.0625,26204362,0.324141145,3.085075793
4.113,183350654,30.3,0.462785686,5.0625,26204362,0.33591485,2.976944901
4.113,183350654,30.3,0.462785686,5.0625,26204362,0.367289454,2.722648279
4.113,183350654,30.3,0.462785686,5.0625,26204362,0.357939929,2.793764872
4.113,183350654,30.3,0.462785686,5.0625,26204362,0.347893149,2.874445797
4.113,183350654,30.3,0.462785686,5.0625,26204362,0.334757268,2.9872391
4.113,183350654,30.3,0.462785686,5.0625,26204362,0.336672097,2.97024912
4.113,183350654,30.3,0.462785686,5.0625,26204362,0.338673979,2.952692152
4.113,183350654,30.3,0.462785686,5.0625,26204362,0.34189254,2.924895641
4.113,4856736,0.3,0.052934113,0.5625,693818,9.635206223,0.103786051
4.113,4856736,0.3,0.052934113,0.5625,693818,9.400539398,0.106376875
4.113,4856736,0.3,0.052934113,0.5625,693818,9.46422863,0.105661015
4.113,4856736,0.3,0.052934113,0.5625,693818,9.537776947,0.104846235
4.113,4856736,0.3,0.052934113,0.5625,693818,9.568327904,0.104511468
4.113,4856736,0.3,0.052934113,0.5625,693818,9.451645851,0.105801679
4.113,4856736,0.3,0.052934113,0.5625,693818,9.461146355,0.105695437
4.113,4856736,0.3,0.052934113,0.5625,693818,9.550402641,0.104707627
4.113,4856736,0.3,0.052934113,0.5625,693818,8.89410305,0.112434047
4.113,4856736,0.3,0.052934113,0.5625,693818,9.387571335,0.106523824
4.113,4856736,0.3,0.052934113,0.5625,693818,9.386547089,0.106535448
4.113,4856736,0.3,0.052934113,0.5625,693818,9.62958622,0.103846622
4.113,4856736,0.3,0.052934113,0.5625,693818,9.533252716,0.104895992
4.113,13004101,0.3,0.068140837,0.5625,1857722,4.576661587,0.218499878
4.113,13004101,0.3,0.068140837,0.5625,1857722,4.568742752,0.218878596
4.113,13004101,0.3,0.068140837,0.5625,1857722,4.589184284,0.217903649
4.113,13004101,0.3,0.068140837,0.5625,1857722,4.625036716,0.2162145
4.113,13004101,0.3,0.068140837,0.5625,1857722,4.493106365,0.222563171
4.113,13004101,0.3,0.068140837,0.5625,1857722,4.617976665,0.216545053
4.113,13004101,0.3,0.068140837,0.5625,1857722,4.581987381,0.218245909
4.113,13004101,0.3,0.068140837,0.5625,1857722,4.594210148,0.217665272
4.113,13004101,0.3,0.068140837,0.5625,1857722,4.630461216,0.215961208
4.113,13004101,0.3,0.068140837,0.5625,1857722,4.628634453,0.216046441
4.113,13004101,0.3,0.068140837,0.5625,1857722,4.510657787,0.221697155
4.113,13004101,0.3,0.068140837,0.5625,1857722,4.627150536,0.216115727
4.113,13004101,0.3,0.068140837,0.5625,1857722,4.616057396,0.216635088
4.113,183350654,0.3,0.462785686,5.0625,26204362,0.711906433,1.404678977
4.113,183350654,0.3,0.462785686,5.0625,26204362,0.710938215,1.406591992
4.113,183350654,0.3,0.462785686,5.0625,26204362,0.710623801,1.407214336
4.113,183350654,0.3,0.462785686,5.0625,26204362,0.713746548,1.401057564
4.113,183350654,0.3,0.462785686,5.0625,26204362,0.711379111,1.405720219
4.113,183350654,0.3,0.462785686,5.0625,26204362,0.71166712,1.40515133
4.113,183350654,0.3,0.462785686,5.0625,26204362,0.711706102,1.405074366
4.113,183350654,0.3,0.462785686,5.0625,26204362,0.711763918,1.404960233
4.113,183350654,0.3,0.462785686,5.0625,26204362,0.699347079,1.429905164
4.113,183350654,0.3,0.462785686,5.0625,26204362,0.712407351,1.403691299
4.113,183350654,0.3,0.462785686,5.0625,26204362,0.712188482,1.40412268
