Wall time,Step,Value,Step Time
1563843369,101,19.12894058,
1563843374,201,21.31747437,0.046909872
1563843379,301,21.48708153,0.046539592
1563843383,401,21.27548218,0.04700246
1563843388,501,21.37549973,0.046782532
1563843393,601,21.36151505,0.046813159
1563843397,701,21.49067497,0.04653181
1563843402,801,21.37833977,0.046776317
1563843407,901,20.56194496,0.048633532
1563843412,1001,21.50054932,0.04651044
1563843416,1101,21.27444077,0.047004761
1563843421,1201,20.95452118,0.047722398
1563843426,1301,20.7833004,0.048115553
1563843430,1401,21.38815117,0.046754859
1563843435,1501,21.4748497,0.0465661
1563843440,1601,21.19072723,0.047190452
1563843445,1701,21.00308228,0.047612059
1563843449,1801,20.44577599,0.048909858
1563843454,1901,20.76869583,0.048149388
1563843459,2001,21.19684219,0.047176838
1563843464,2101,18.87385368,0.05298335
1563843469,2201,21.32041168,0.04690341
1563843474,2301,21.29154205,0.046967007
1563843478,2401,21.07679558,0.047445542
1563843483,2501,21.37015152,0.04679424
1563843488,2601,21.30975723,0.04692686
1563843493,2701,21.21154404,0.04714414
1563843497,2801,21.34899139,0.04684062
1563843502,2901,21.35585785,0.04682556
1563843507,3001,21.46689415,0.046583357
1563843511,3101,21.34851265,0.046841671
1563843516,3201,21.3411274,0.046857881
1563843521,3301,21.27424812,0.047005186
1563843525,3401,21.42593384,0.046672411
1563843530,3501,21.24690819,0.047065671
1563843535,3601,21.49430466,0.046523952
1563843540,3701,20.48327065,0.048820328
1563843544,3801,21.46122742,0.046595657
1563843549,3901,21.09521294,0.04740412
,,21.15856562,0.04728692
,,0.47190166,0.001140272
