Wall time,Step,Value,Step Time
,0,0,
1563842156,101,4.334154606,
1563842177,201,4.601126671,0.217338072
1563842199,301,4.599161148,0.217430955
1563842221,401,4.609607697,0.216938201
1563842242,501,4.598531723,0.217460716
1563842266,601,4.189630032,0.23868456
1563842288,701,4.595058918,0.217625066
1563842310,801,4.556264877,0.219478021
1563842332,901,4.590615749,0.217835701
1563842354,1001,4.586008549,0.218054543
1563842375,1101,4.581646442,0.218262149
1563842398,1201,4.464697838,0.223979323
1563842420,1301,4.587365627,0.217990036
1563842441,1401,4.584121704,0.218144296
1563842463,1501,4.589886665,0.217870303
1563842485,1601,4.5796175,0.218358848
1563842507,1701,4.593884468,0.217680703
1563842529,1801,4.448856831,0.224776844
1563842551,1901,4.59414053,0.21766857
1563842573,2001,4.587481499,0.21798453
1563842595,2101,4.600492001,0.217368055
1563842616,2201,4.583620548,0.218168147
1563842638,2301,4.559391499,0.219327513
1563842661,2401,4.472817898,0.223572706
1563842682,2501,4.598542213,0.21746022
1563842704,2601,4.603748798,0.217214284
1563842726,2701,4.603745937,0.217214419
1563842748,2801,4.598860264,0.21744518
1563842769,2901,4.588969231,0.21791386
1563842792,3001,4.448622704,0.224788674
1563842814,3101,4.608465195,0.216991983
1563842835,3201,4.585026264,0.218101259
1563842857,3301,4.597661972,0.217501853
1563842879,3401,4.600933075,0.217347217
1563842901,3501,4.610140324,0.216913137
1563842923,3601,4.449062824,0.224766437
1563842945,3701,4.544736862,0.220034741
1563842967,3801,4.593409061,0.217703232
1563842989,3901,4.578165531,0.2184281
,,4.562213597,0.219258486
,,0.078332657,0.003988422
