Wall time,Step,Value,Step Time
1563844710,101,1.793583989,
1563844760,201,1.998072982,0.500482219
1563844812,301,1.931682348,0.517683459
1563844863,401,1.951080203,0.512536593
1563844914,501,1.987071753,0.50325309
1563844967,601,1.856044412,0.538780211
1563845019,701,1.939786553,0.515520637
1563845070,801,1.956812263,0.511035228
1563845121,901,1.978755832,0.505368062
1563845171,1001,1.97469461,0.506407419
1563845222,1101,1.979863644,0.505085289
1563845273,1201,1.96364224,0.509257735
1563845324,1301,1.964717865,0.508978932
1563845374,1401,1.997028232,0.500744048
1563845424,1501,1.995354056,0.50116419
1563845474,1601,2.010270834,0.49744541
1563845524,1701,1.988382697,0.502921295
1563845574,1801,1.999712229,0.500071953
1563845624,1901,1.982462764,0.504423093
1563845675,2001,1.976702929,0.505892912
1563845726,2101,1.960145712,0.510166154
1563845776,2201,1.98168087,0.504622119
1563845828,2301,1.946601033,0.513715951
1563845879,2401,1.947598577,0.513452829
1563845930,2501,1.971688151,0.507179596
1563845981,2601,1.967798114,0.508182213
1563846030,2701,2.013243675,0.496710861
1563846081,2801,1.987045646,0.503259702
1563846132,2901,1.949433088,0.512969645
1563846182,3001,1.982077956,0.504521024
1563846232,3101,1.994073749,0.501485966
1563846282,3201,2.02852869,0.492968132
1563846333,3301,1.968199611,0.508078548
1563846383,3401,1.990393281,0.502413272
1563846433,3501,1.994732022,0.501320473
1563846484,3601,1.954726696,0.511580469
1563846534,3701,1.984924555,0.503797486
1563846584,3801,2.018517494,0.495413095
1563846634,3901,1.998052716,0.500487295
,,1.975568423,0.506299384
,,0.029924863,0.007866035
