Wall time,Step,Value,Step Time
1563844587,101,2.078254938,
1563844633,201,2.171376705,0.460537316
1563844679,301,2.171871662,0.460432362
1563844725,401,2.173866034,0.460009947
1563844770,501,2.204764843,0.45356311
1563844817,601,2.134202957,0.468558998
1563844862,701,2.203570604,0.453808922
1563844907,801,2.240500212,0.446328902
1563844954,901,2.128985405,0.469707306
1563844999,1001,2.229370117,0.448557192
1563845044,1101,2.232166052,0.447995345
1563845090,1201,2.155993223,0.46382335
1563845135,1301,2.203628302,0.45379704
1563845180,1401,2.219883204,0.45047415
1563845227,1501,2.158787966,0.46322289
1563845272,1601,2.203435421,0.453836763
1563845317,1701,2.22607255,0.449221657
1563845364,1801,2.147653103,0.465624546
1563845409,1901,2.223561049,0.449729051
1563845454,2001,2.183374166,0.458006702
1563845501,2101,2.161295652,0.462685426
1563845547,2201,2.183633566,0.457952294
1563845592,2301,2.180918932,0.458522316
1563845639,2401,2.148127079,0.465521807
1563845685,2501,2.18814683,0.457007723
1563845731,2601,2.176781654,0.459393802
1563845778,2701,2.111156464,0.473674035
1563845824,2801,2.157588243,0.463480464
1563845871,2901,2.147031784,0.46575929
1563845917,3001,2.143680573,0.466487411
1563845964,3101,2.166278362,0.461621192
1563846009,3201,2.216950178,0.451070128
1563846055,3301,2.172571659,0.460284012
1563846101,3401,2.183712482,0.457935744
1563846146,3501,2.212143421,0.452050256
1563846193,3601,2.115328312,0.472739855
1563846238,3701,2.239730597,0.446482269
1563846283,3801,2.187934875,0.457051995
1563846328,3901,2.2320292,0.448022813
,,2.182581669,0.458288905
,,0.035142596,0.007393819
