Wall time,Step,Value,Step Time
,0,0,
1563843967,101,2.354339361,
1563844005,201,2.589209795,0.386218221
1563844045,301,2.557177544,0.391056148
1563844083,401,2.595754385,0.385244461
1563844122,501,2.604844093,0.383900135
1563844160,601,2.60263133,0.384226528
1563844199,701,2.534794331,0.394509325
1563844238,801,2.575544596,0.388267398
1563844277,901,2.601195812,0.384438571
1563844315,1001,2.584135294,0.386976643
1563844355,1101,2.552905798,0.391710497
1563844393,1201,2.585490942,0.386773739
1563844432,1301,2.594305754,0.385459578
1563844470,1401,2.589757204,0.386136584
1563844510,1501,2.523280621,0.396309468
1563844549,1601,2.595931292,0.385218208
1563844587,1701,2.595622063,0.385264101
1563844626,1801,2.590622425,0.386007621
1563844665,1901,2.55116725,0.391977437
1563844703,2001,2.590782166,0.385983821
1563844742,2101,2.603442907,0.384106752
1563844780,2201,2.593022585,0.385650324
1563844820,2301,2.53029871,0.395210256
1563844858,2401,2.596127033,0.385189163
1563844897,2501,2.59503603,0.385351104
1563844936,2601,2.589957476,0.386106725
1563844975,2701,2.55047369,0.392084029
1563845013,2801,2.59133935,0.385900828
1563845052,2901,2.592362642,0.3857485
1563845091,3001,2.591087818,0.385938289
1563845130,3101,2.534853458,0.394500123
1563845169,3201,2.595863819,0.385228221
1563845207,3301,2.578771591,0.387781533
1563845246,3401,2.595874548,0.385226628
1563845285,3501,2.545031309,0.392922475
1563845324,3601,2.594879627,0.385374331
1563845362,3701,2.59389925,0.385519985
1563845401,3801,2.589055061,0.386241303
1563845440,3901,2.527173996,0.395698912
,,2.579044831,0.38777521
,,0.024617104,0.00374029
