Wall time,Step,Value,Step Time
1563843837,101,5.964107513,
1563843852,201,7.038379669,0.142078155
1563843866,301,7.10409832,0.140763818
1563843880,401,7.078859806,0.141265688
1563843894,501,7.114462376,0.140558759
1563843908,601,7.036765099,0.142110755
1563843923,701,6.660896778,0.150129935
1563843937,801,6.930048466,0.144299135
1563843951,901,7.135503769,0.140144275
1563843965,1001,7.129988194,0.140252687
1563843979,1101,7.164662838,0.139573909
1563843993,1201,7.116593361,0.14051667
1563844007,1301,7.135849476,0.140137485
1563844022,1401,7.091020107,0.141023433
1563844036,1501,7.091733932,0.141009238
1563844051,1601,6.554907799,0.152557447
1563844065,1701,7.07478714,0.141347009
1563844080,1801,6.63509798,0.150713675
1563844094,1901,7.131542206,0.140222125
1563844108,2001,7.135865688,0.140137167
1563844122,2101,7.065921783,0.141524352
1563844136,2201,7.10239315,0.140797613
1563844151,2301,7.056233883,0.141718659
1563844165,2401,7.075122833,0.141340302
1563844180,2501,6.762191296,0.147881058
1563844194,2601,7.143419743,0.139988974
1563844208,2701,7.059884548,0.141645376
1563844222,2801,7.093308926,0.140977929
1563844236,2901,7.13442421,0.140165481
1563844250,3001,6.972227573,0.143426185
1563844264,3101,7.156054974,0.1397418
1563844278,3201,7.200563908,0.138878012
1563844292,3301,7.123563766,0.140379174
1563844312,3401,5.074175358,0.197076358
1563844326,3501,7.139263153,0.140070478
1563844340,3601,7.176866531,0.139336575
1563844354,3701,7.059589386,0.141651298
1563844368,3801,7.108701229,0.140672673
1563844383,3901,6.839156628,0.146216859
,,6.992213839,0.143482382
,,0.354383835,0.009494268
