Wall time,Step,Value,Step Time
1563843769,101,6.656100273,
1563843780,201,8.82701683,0.113288557
1563843792,301,9.022705078,0.110831507
1563843803,401,8.908363342,0.112254065
1563843814,501,8.622242928,0.115979103
1563843826,601,8.910161018,0.112231417
1563843837,701,8.91752243,0.11213877
1563843849,801,8.388188362,0.119215253
1563843860,901,8.781188965,0.113879795
1563843871,1001,8.813611031,0.113460873
1563843883,1101,8.795800209,0.113690622
1563843895,1201,8.479450226,0.117932174
1563843907,1301,7.922104836,0.126229079
1563843919,1401,8.85541153,0.1129253
1563843930,1501,8.991305351,0.111218556
1563843941,1601,8.910763741,0.112223826
1563843952,1701,8.919599533,0.112112657
1563843963,1801,8.918067932,0.112131911
1563843975,1901,8.382195473,0.119300487
1563843987,2001,8.857932091,0.112893166
1563843998,2101,8.820404053,0.113373491
1563844009,2201,8.883684158,0.112565911
1563844021,2301,8.797632217,0.113666948
1563844031,2401,9.196453094,0.108737574
1563844043,2501,8.944234848,0.111803862
1563844054,2601,8.874949455,0.112676698
1563844065,2701,8.756719589,0.114198016
1563844077,2801,8.888605118,0.112503592
1563844088,2901,8.889385223,0.112493719
1563844100,3001,8.403832436,0.118993329
1563844111,3101,8.883364677,0.112569959
1563844122,3201,9.190879822,0.108803512
1563844133,3301,8.786329269,0.113813172
1563844144,3401,9.019460678,0.110871374
1563844156,3501,8.89892292,0.11237315
1563844167,3601,8.593473434,0.116367381
1563844179,3701,8.648679733,0.115624584
1563844190,3801,8.932372093,0.111952345
1563844201,3901,8.878685951,0.112629279
,,8.802939465,0.113683027
,,0.237884962,0.00321927
