Provisioning,Staging,Booting
1.741169922,26.11382617,40.78635693
1.53597583,28.26474097,41.88135791
1.535030029,28.26421411,39.83384399
1.534545898,35.73913892,39.42506714
1.433062744,25.39830005,40.14741113
1.463186035,26.3269939,40.096927
1.64301416,30.20762817,40.75578809
1.617271973,26.01311011,42.68742188
1.313709961,30.31817822,40.67372583
1.300812988,35.47165894,40.99952686
1.385052979,26.23341797,40.53621509
1.396161133,25.03203882,36.22364502
1.341255371,27.11378613,40.28619995
1.423717773,34.37716797,40.11955688
1.461583008,24.82080371,40.99560913
1.522852051,28.18343213,40.25173877
1.701313965,26.92011133,39.87461768
